0.25, 500, 0.001, 0.69, 12, 8, 0.011227225186643196
0.25, 500, 0.001, 0.69, 12, 8, 0.012941937029743123
0.25, 500, 0.001, 0.69, 12, 8, 0.012035626852500526
0.25, 600, 0.001, 0.59, 12, 8, 0.010873019938873454
0.25, 600, 0.001, 0.59, 12, 8, 0.0098283789817940493
0.25, 600, 0.001, 0.59, 12, 8, 0.010564263725367664
0.15, 500, 0.001, 0.7, 14, 0, 0.0085680948911110062
0.15, 500, 0.001, 0.7, 14, 0, 0.0089580258620161959
0.15, 500, 0.001, 0.7, 14, 0, 0.0085484951538771486
0.15, 600, 0.001, 0.79, 13, 0, 0.0084277616061104975
0.15, 600, 0.001, 0.79, 13, 0, 0.0089317847146548751
0.15, 600, 0.001, 0.79, 13, 0, 0.0082022731863878248
0.2, 550, 0.01, 0.59, 11, 11, 0.007036480913716895
0.2, 550, 0.01, 0.59, 11, 11, 0.007195850713818782
0.2, 550, 0.01, 0.59, 11, 11, 0.0071201022974256341
0.25, 600, 0.01, 0.69, 13, 10, 0.0065977668330581794
0.25, 600, 0.01, 0.69, 13, 10, 0.00694159080559605
0.25, 600, 0.01, 0.69, 13, 10, 0.0073976979448369872
0.1, 550, 0.001, 0.69, 13, 0, 0.0084052178231800063
0.1, 550, 0.001, 0.69, 13, 0, 0.0085670513844732146
0.1, 550, 0.001, 0.69, 13, 0, 0.0084031344136088863
0.3, 650, 0.01, 0.79, 12, 12, 0.0072209701532119485
0.3, 650, 0.01, 0.79, 12, 12, 0.0061296524113483393
0.3, 650, 0.01, 0.79, 12, 12, 0.010239961569934206
